Language,Concept,Key_Path_1,Translation_1,Key_Path_2,Translation_2,Key_Path_3,Translation_3,Inconsistent,Issue_Type,Context,Severity,Recommendation
Russian (ru),Save/Saved,general.save,Сохранить,general.saved,Сохранено в избранное!,favorites.screen_title,Избранное,YES,Verb Form Mismatch,Save action vs saved status,HIGH,Use only infinitive "Сохранить" for all save-related actions; use "В избранном" for status
Russian (ru),Copy/Copied,general.copy,Копировать,general.copied,Скопировано!,script_generator.copy_all_button,Коп.,YES,Abbreviation vs Full,Copy action button shows abbreviation,HIGH,Replace "Коп." with "Копировать всё" for consistency and clarity
Russian (ru),Generation/Ideas,daily_ai_generations,ежедневные генерации,detail_ideas_count,идей,ideas_list.empty_title,Идей не найдено,YES,Declension Inconsistency,Singular/plural genitive case variance,HIGH,Standardize to genitive plural form across all contexts
Russian (ru),Scenes,general.scenes,Сцены,home.detail_scenes,Сцены ({0}),favorites.scenes,Сцены ({count}),NO,Consistent,All use title case,OK,No change needed
Russian (ru),Voiceover,general.voiceover,Закадровый голос,idea_details.hook,Хук,script_generator.hook_title,Открывающий хук,YES,Alternative Translation,Different terms used for same concept,MEDIUM,Standardize to either "Закадровый голос" or "Озвучка"
Russian (ru),Refine,idea_details.refine_button,Улучшить с ИИ,idea_details.snack_refined,Идея улучшена до PRO,idea_details.refining,Улучшаем,PARTIAL,Consistency,All forms use "улучш-" root,OK,Consistent root form works well
Spanish (es),Viral,viral_rewrite.title,Hacer viral,viral_rewrite.input_title,Hazlo viral,home.quick_make_viral,Hacer viral,NO,Conjugation,Uses both infinitive and imperative,MEDIUM,Standardize to infinitive "Hacer viral" throughout UI
Spanish (es),Refine,idea_details.refine_button,Mejorar con IA,idea_details.snack_refined,¡Idea mejorada!,idea_details.refining,Mejorando,YES,Gender Agreement,Past participle "mejorada" agrees with feminine "idea",MEDIUM,Ensure all gender agreements match noun context (idea=feminine)
Spanish (es),Saved,general.saved,¡Guardado en Favoritos!,general.snack_saved,¡Guardado en Favoritos!,favorites.snack_removed,Eliminado de favoritos,PARTIAL,Masculine Default,Uses masculine form uniformly,LOW,Acceptable - Spanish defaults to masculine for status messages
Spanish (es),Generation,daily_ai_generations,Generaciones IA diarias,home.detail_ideas_count,{0} ideas,home.reward_success,¡Obtuviste +1 generación!,PARTIAL,Singular/Plural,Properly contextualized,OK,Natural Spanish usage patterns - no change needed
Portuguese (pt),Viral,viral_rewrite.title,Viralizar,viral_rewrite.input_title,Torne viral,home.quick_make_viral,Viralizar,YES,Conjugation Mismatch,Uses both infinitive and imperative,MEDIUM,Standardize - recommend infinitive "Viralizar" for buttons
Portuguese (pt),Generation,daily_ai_generations,Gerações IA diárias,home.reward_success,+1 geração,detail_ideas_count,{0} ideias,YES,Singular/Plural Context,Properly conjugated but needs consistency check,LOW,Ensure singular "geração" for count=1 throughout
Portuguese (pt),Save,general.save,Salvar,general.saved,Salvo nos Favoritos!,general.snack_saved,Salvo nos Favoritos!,YES,Verb vs Adjective,Button uses verb infinitive; status uses adjective,MEDIUM,Use infinitive "Salvar" for button; "Salvo" for status messages
French (fr),Generate,hashtag_generator.generate_button,Générer hashtags,hashtags_generated,Hashtags Générés,hashtag_generator.generating,Génération des hashtags,YES,Tense/Form Inconsistency,Mixed infinitive and past participle,MEDIUM,Use infinitive for buttons; past participle for labels (génération/Générés)
French (fr),Refine,idea_details.refine_button,Améliorer avec IA,idea_details.snack_refined,Idée améliorée par l'IA !,idea_details.refining,Amélioration,YES,Gender Agreement,Feminine "idée" correctly paired with "améliorée",MEDIUM,Verify all feminine adjectives like "améliorée" for gender agreement
French (fr),Comment,comment_generator.title,Générateur de commentaires,favorites.detail.comment_text,Texte du commentaire,script_generator.cta_title,Appel à l'action,PARTIAL,Terminology,Consistent root "comment-" used,OK,Natural French usage - no change needed
German (de),Refine,idea_details.refine_button,Mit KI verbessern,idea_details.snack_refined,Idee mit KI verbessert!,idea_details.refining,Wird verbessert,YES,Participle/Infinitive,Infinitive in button; past participle in result,MEDIUM,Standardize: use infinitive "verbessern" for buttons; past participle for results
German (de),Voiceover,general.voiceover,Voiceover,script_generator.voiceover_title,Sprechtext,hashtag_generator.voiceover_title,Sprechtext,YES,Alternative Translation,English term mixed with German "Sprechtext",MEDIUM,Standardize to German "Sprechtext" (eliminate English "Voiceover")
German (de),Scenes,general.scenes,Szenen,home.detail_scenes,Szenen ({0}),favorites.scenes,Szenen ({count}),NO,Consistent,All use consistent capitalization,OK,No change needed
German (de),Hashtag,hashtag_generator.title,Hashtag-Generator,home.quick_hashtags,Hashtags,script_generator.hashtags_title,Hashtags,PARTIAL,Hyphenation,Title hyphenated; navigation use non-hyphenated,LOW,Consider style guide: recommend "Hashtag" (non-hyphenated) for consistency with English compound
Arabic (ar),Idea (الفكرة),detail_idea_title,عنوان الفكرة,detail_ideas_count,أفكار,idea_details.title,تفاصيل الفكرة,PARTIAL,Gender/Number,Feminine noun; adjectives must agree,MEDIUM,Verify all modifiers agree with feminine singular/plural forms
Arabic (ar),Generation,daily_ai_generations,التوليدات اليومية,detail_ideas_count,أفكار,script_generator.hook_title,الخطاف,YES,Spelling Variant,Multiple forms of "generation" used,MEDIUM,Standardize to single form throughout (توليد/توليدات)
English (en),Save,general.save,Save,general.saved,Saved to Favorites!,favorites.snack_removed,Removed from favorites,NO,Consistent,All use same English convention,OK,This is the SOURCE language - all correct
Spanish (es),Comment,comment_generator.title,Generador de comentarios,favorites.detail.comment_text,Texto del comentario,script_generator.cta_title,Llamada a la acción,NO,Consistent,Uses standard Spanish terminology,OK,No change needed
Italian (--),Comment,--,--, N/A (not in audit scope),--,--,--,--,NO,Language Not Included,Italian not provided in localization files,--,N/A
Hindi (hi),Save,general.save,Save,general.saved,save ho gaya,favorites.snack_removed,remove ho gaya,YES,English Fallback,Button uses English "Save"; status uses Hindi,HIGH,Translate button to Hindi equivalent immediately
Hindi (hi),Hook,detail_hook,Hook,detail_original_idea,Asli Idea,script_generator.hook_title,Opening Hook,YES,English Untranslated,Some uses leave English term,HIGH,Translate "Hook" to Hindi equivalent (संकेत/हुक)
Hindi (hi),Generation,daily_ai_generations,Rozana AI Generations,home.reward_success,+1 generation mil gayi!,detail_ideas_count,{0} ideas,YES,English Mixed with Hindi,Uses English "Generations"; Hindi forms elsewhere,HIGH,Standardize - replace all English with Hindi
Indonesian (id),Hook,detail_hook,Kait,detail_original_idea,Ide Asli,script_generator.hook_title,Kait (0-3s),NO,Consistent,Uses "Kait" throughout,OK,No change needed
Indonesian (id),Generation,daily_ai_generations,Generasi AI Harian,home.reward_success,Dapat +1 generasi,detail_ideas_count,ide,YES,Context-Aware,Properly conjugated per context,LOW,Natural Indonesian usage - no change needed
Malay (ms),Voiceover,general.voiceover,Suara Latar,script_generator.voiceover_title,pengisi suara,comment_generator.hook_title,Daya Pancing,YES,Alternative Translation,Different terms for voiceover concept,MEDIUM,Standardize to single term (recommend "Suara Latar")
Malay (ms),Copy,general.copy,Salin,general.copied,Disalin!,script_generator.copy_all_button,Kaut Jisim,PARTIAL,Context Variation,Uses different verb forms appropriately,LOW,Natural Malay patterns - acceptable
Vietnamese (vi),Copy,general.copy,Sao chép,general.copied,Đã sao chép,script_generator.copy_all_button,Sao chép tất cả,NO,Consistent,All use similar structure with "sao chép",OK,No change needed
Vietnamese (vi),Hook,detail_hook,Hook,detail_original_idea,Ý tưởng gốc,script_generator.hook_title,Khởi đầu,YES,English Term,Some use English "Hook"; others translate,MEDIUM,Standardize to Vietnamese translation throughout
Vietnamese (vi),Generation,daily_ai_generations,Lượt tạo AI hằng ngày,home.reward_success,+1 lượt tạo,detail_ideas_count,{0} ý tưởng,NO,Consistent,Uses "lượt tạo" consistently,OK,No change needed
Uzbek (uz),Viral,viral_rewrite.title,Viral qilish,viral_rewrite.input_title,Cetus Rentak Cemerlang,home.quick_make_viral,Viral qilish,NO,Consistent,Uses "Viral qilish" (verb form) appropriately,OK,No change needed
Uzbek (uz),Tone,comment_generator.tone_friendly,Do'stona,script_generator.tone_friendly,Do'stona,hashtag_generator.tone_friendly,Do'stona,NO,Consistent,Consistent terminology throughout,OK,No change needed
